Category,Key,Value,Extra,Comment
address,4cqGDNTNu8Bdv4ST7u7cn4e6acfhezhaWvPVsm85mCwP,Airdrop recipient,,
address,6p9u3VPEvpMocPrtU5CZDqSduubkfUd4Q47dKzRmJgcg,Airdrop recipient,,
address,8rEKvkXnbmCQsVq5ffkdUpkoTNdBndX92Ee4gpBi6dtv,Airdrop recipient,,
address,G1rhnXCQ1CgX5sS1WtofjF8SacD4bwwa4amPhZfQRtnj,Airdrop recipient,,
address,GQvGphvYQGVXuJXY9sX5iTsJeUjxpX3ijhBKZ9HpxCtQ,Airdrop recipient,,
address,2EipryY7NZzTQrkudw8i9Y8QBisrwiM7aZcyJMPnBtpi,Airdrop recipient,,
address,E5F1xBL9NBBxECiE4AM2Ccizm9Fizms74j1RDX164TgW,Airdrop recipient,,
address,HVqkXbqc46KtrgNYK9GrAhAsMWp55edZdE9A1oqrg921,Airdrop recipient,,
address,DdeX4zgiP66xHTert4XRQFVxeicwUuAGdLqsFc6yemLM,Airdrop recipient,,
address,6PpkeTZZnQ5pA1Nd8fpwyd7jiupJhXshweCkXEzZvYzJ,Airdrop recipient,,
address,5hR6yGH9SDFHAVSyP6y4FvDkyCG9DGFQFL2hEQMvVi5g,Airdrop recipient,,
address,CNXkBNVvxpanXaFxgHkDpQ2PtTFZYS5hXY32aNk99TJA,Airdrop recipient,,
address,AAd1DKxasFt22VuFwrKYFZPkwupAEXUaJgkxpB8uct7e,Airdrop recipient,,
address,85fPwWzs3Db7MjA6GmLQLgBkVvfZQazxsq6JQdn2DT5x,Airdrop recipient,,
address,Dho3vTdYEdoAGac6TAEvX4PF1AHbrEDD2L5mbGuLyfp7,Airdrop recipient,,
address,BhVSfpgr745EDHJB185kwsC3Mx4BFAQ5TwEbzHw5bAXK,Airdrop recipient,,
address,5PgbnCxqZ2udY5Y9ryqY1GmJMafaADBoL9zrEDTX8C93,Airdrop recipient,,
address,HdJKefcAWRRAGRKAqTW8TBU4FGk8FRgrXySnhPr91nhd,Airdrop recipient,,
address,HbfY6yALgKpuxau5uT9f49TNNfSNuzVknKEAAYFYtahK,Airdrop recipient,,
address,8ubRYQ3PweHctRvVRemMfpWRTKSHnZrQMFKA8Yki4dSg,Airdrop recipient,,
address,6sW8tNaZvMrrWBJqp88zpsr4zazMh32pLxvZfcKyZAje,Airdrop recipient,,
address,41VFH6QMo7Vfb8wKan6uWdAB6HNZasXGnBiXfH7bvXBm,Airdrop recipient,,
address,6Zs6HrDpNJb7grvG9jF7P2ZeMVjCAJMQngUzdgxpaDZH,Airdrop recipient,,
address,AKdH9GpNxCaZS6vb7vTBChC9aYRwULUD6FmRHRjg83qH,Airdrop recipient,,
address,ArJz9kemHEEChKpe6UMK2848Zdja8d4X6nDR2LV9Sjvj,Airdrop recipient,,
address,67PWQyB5cLtyRmL9ESdMuZxhNA3PkN25c2Ttdw2gkxgT,Airdrop recipient,,
address,7JooR4Jgd4EzQR47Qwtz7C7mXrmPUkV4cyG3BHmfq5uu,Airdrop recipient,,
address,895WeAQBxBMg7saTpdhdEHwPCM5mXH3YKPMT46Xx3HQy,Airdrop recipient,,
address,6STpk3H2tKcJpG1qLEdwWyUFtDrLVFFnKCNEoGZZnC57,Airdrop recipient,,
